Tagset	Seed	Epoch	Dataset	Loss	Accuracy.seqeval	Precision.seqeval	Recall.seqeval	F1.seqeval	Accuracy.NCRFpp	Precision.NCRFpp	Recall.NCRFpp	F1.NCRFpp
BMES	7	1	Dev	50776.15884017944	0.9604960866009891	0.8888685127452778	0.8157186132615281	0.8507240017551556	0.9604960866009891	0.8890315480557593	0.8157186132615281	0.8507986659645428
BMES	7	1	Test	50776.15884017944	0.9536125767201464	0.8506682161533992	0.7776203966005666	0.8125057811488299	0.9536125767201464	0.8506103468320093	0.7772662889518414	0.8122860579147008
BMES	7	2	Dev	26973.417442321777	0.9683812935633348	0.9113878361306623	0.8498821945472905	0.8795610903074111	0.9683812935633348	0.9117169164109045	0.8498821945472905	0.879714310600122
BMES	7	2	Test	26973.417442321777	0.9594271562399053	0.8705365667366813	0.8071883852691218	0.8376665135507579	0.9594271562399053	0.8706534199465036	0.8068342776203966	0.8375298658334865
BMES	7	3	Dev	21758.871852874756	0.9711459834118609	0.9231738035264484	0.8635139683608213	0.8923478260869565	0.9711459834118609	0.9236723672367236	0.8635139683608213	0.8925806732191006
BMES	7	3	Test	21758.871852874756	0.9628512975126521	0.8817490494296578	0.8211756373937678	0.8503850385038504	0.9628512975126521	0.8818942563712439	0.8209985835694051	0.8503576013203742
BMES	7	4	Dev	19084.869258880615	0.9742416572563374	0.9224107458465889	0.8783237967014473	0.8998275862068965	0.9742416572563374	0.9223970302280361	0.8781555031975766	0.8997327355806536
BMES	7	4	Test	19084.869258880615	0.9649402390438248	0.8766028619215759	0.8351628895184136	0.8553812675673224	0.9649402390438248	0.8767657992565056	0.8351628895184136	0.8554588320638374
BMES	7	5	Dev	16788.38673400879	0.9762665005256804	0.9269278060776392	0.8880848199259509	0.9070906746884401	0.9762665005256804	0.9272535582498682	0.8880848199259509	0.9072466259778217
BMES	7	5	Test	16788.38673400879	0.9690319801873587	0.8921023359288098	0.8519830028328612	0.8715812352834632	0.9690319801873587	0.8922677544965696	0.8519830028328612	0.871660175708722
BMES	7	6	Dev	15211.160064697266	0.9766558934620926	0.9280827924925452	0.8904409289801414	0.9088722837756593	0.9766558934620926	0.9280827924925452	0.8904409289801414	0.9088722837756593
BMES	7	6	Test	15211.160064697266	0.9685151286744912	0.8928306092124815	0.8510977337110481	0.871464829586657	0.9685151286744912	0.8928306092124815	0.8510977337110481	0.871464829586657
BMES	7	7	Dev	13923.558387756348	0.9771621042794284	0.9262166405023547	0.8936385055536856	0.9096359743040685	0.9771621042794284	0.9263782274947662	0.8936385055536856	0.9097138941236936
BMES	7	7	Test	13923.558387756348	0.9691611930655756	0.8902798232695139	0.8562322946175638	0.8729241877256319	0.9691611930655756	0.8902798232695139	0.8562322946175638	0.8729241877256319
BMES	7	8	Dev	12957.26815032959	0.9788170242591799	0.9344978165938864	0.9003702457085156	0.9171166538098912	0.9788170242591799	0.9344978165938864	0.9003702457085156	0.9171166538098912
BMES	7	8	Test	12957.26815032959	0.9698072574566599	0.8936601548101732	0.8585339943342776	0.8757449882607911	0.9698072574566599	0.8938248847926267	0.8585339943342776	0.8758240765826786
BMES	7	9	Dev	11992.865467071533	0.9795763404851836	0.9319916724496877	0.9040727027936721	0.917819921407825	0.9795763404851836	0.9319916724496877	0.9040727027936721	0.917819921407825
BMES	7	9	Test	11992.865467071533	0.9707548185635835	0.8927853881278539	0.8654390934844193	0.8788995774521262	0.9707548185635835	0.8927853881278539	0.8654390934844193	0.8788995774521262
BMES	7	10	Dev	11388.32527923584	0.9796736887192866	0.9349071341780941	0.9064288118478627	0.9204477484405709	0.9796736887192866	0.9349071341780941	0.9064288118478627	0.9204477484405709
BMES	7	10	Test	11388.32527923584	0.9707332830838807	0.894370071520264	0.8634915014164306	0.8786595802179983	0.9707332830838807	0.894370071520264	0.8634915014164306	0.8786595802179983
BMES	7	11	Dev	10852.155899047852	0.9793427047233363	0.9333564734467199	0.9050824638168967	0.919002050580998	0.9793427047233363	0.9333564734467199	0.9050824638168967	0.919002050580998
BMES	7	11	Test	10852.155899047852	0.970367179928933	0.8943493465856801	0.8603045325779037	0.8769966609511777	0.970367179928933	0.8943493465856801	0.8603045325779037	0.8769966609511777
