Tagset	Seed	Epoch	Dataset	Loss	Accuracy.seqeval	Precision.seqeval	Recall.seqeval	F1.seqeval	Accuracy.NCRFpp	Precision.NCRFpp	Recall.NCRFpp	F1.NCRFpp
BIO	3	1	Dev	45606.54439163208	0.9610412367119661	0.8695017338930462	0.8017502524402558	0.8342526924087208	0.9610412367119661	0.8696604600219058	0.8017502524402558	0.8343257443082311
BIO	3	1	Test	45606.54439163208	0.9548616345429094	0.8339447769839737	0.7646954674220963	0.7978202641544286	0.9548616345429094	0.8342669499710257	0.7646954674220963	0.7979676674364895
BIO	3	2	Dev	26813.935028076172	0.9690237919084148	0.9041120488418029	0.8473577919892292	0.8748153939709843	0.9690237919084148	0.9047619047619048	0.8473577919892292	0.8751194924828365
BIO	3	2	Test	26813.935028076172	0.9612361365349413	0.863412788497919	0.8080736543909348	0.8348271446862996	0.9612361365349413	0.863412788497919	0.8080736543909348	0.8348271446862996
BIO	3	3	Dev	22114.221618652344	0.9734434017366925	0.9092351075079309	0.8682261864692022	0.8882575757575758	0.9734434017366925	0.9100370435702946	0.8682261864692022	0.888640082680217
BIO	3	3	Test	22114.221618652344	0.9647033487670937	0.8670886075949367	0.8247167138810199	0.845372050816697	0.9647033487670937	0.867250046546267	0.8247167138810199	0.8454487703058354
BIO	3	4	Dev	19236.98526763916	0.9766364238152719	0.9192132068844397	0.8808481992595086	0.8996218631832246	0.9766364238152719	0.9193746706481644	0.8808481992595086	0.8996991834980661
BIO	3	4	Test	19236.98526763916	0.9687520189512221	0.8827126181211784	0.8434844192634561	0.8626527840651879	0.9687520189512221	0.8827126181211784	0.8434844192634561	0.8626527840651879
BIO	3	5	Dev	17190.054557800293	0.9761886219383981	0.9203664552501761	0.8791652642208011	0.8992941986572559	0.9761886219383981	0.9205286343612334	0.8791652642208011	0.8993716105707154
BIO	3	5	Test	17190.054557800293	0.9663400452245073	0.8813685384901451	0.8392351274787535	0.8597859604571014	0.9663400452245073	0.8813685384901451	0.8392351274787535	0.8597859604571014
BIO	3	6	Dev	15785.977321147919	0.9791869475487714	0.927437641723356	0.8948165600807809	0.9108351177730192	0.9791869475487714	0.927599441730635	0.8948165600807809	0.910913140311804
BIO	3	6	Test	15785.977321147919	0.9705179282868526	0.8873550524572059	0.8535764872521246	0.8701380741810305	0.9705179282868526	0.8873550524572059	0.8535764872521246	0.8701380741810305
BIO	3	7	Dev	14344.956367492676	0.9789533117869242	0.9264167393199652	0.8941433860652979	0.9099940053095829	0.9789533117869242	0.9267399267399268	0.8941433860652979	0.9101498929336188
BIO	3	7	Test	14344.956367492676	0.9705179282868526	0.8888684452621896	0.8553470254957507	0.8717856176125598	0.9705179282868526	0.8888684452621896	0.8553470254957507	0.8717856176125598
BIO	3	8	Dev	13415.382293701172	0.9794789922510806	0.928136419001218	0.8976775496465836	0.9126529215501753	0.9794789922510806	0.9282979463974939	0.8976775496465836	0.9127310061601642
BIO	3	8	Test	13415.382293701172	0.9715516313125875	0.8930086699870873	0.8571175637393768	0.8746950944078056	0.9715516313125875	0.8930086699870873	0.8571175637393768	0.8746950944078056
BIO	3	9	Dev	12354.055740356445	0.9797126280129278	0.9304560545168618	0.8961629081117469	0.9129875696528076	0.9797126280129278	0.9306186648025166	0.8961629081117469	0.9130658436213992
BIO	3	9	Test	12354.055740356445	0.97172391515021	0.8957600444362155	0.8565864022662889	0.8757353606661235	0.97172391515021	0.8957600444362155	0.8565864022662889	0.8757353606661235
BIO	3	10	Dev	11797.269309997559	0.9805692924730346	0.9309027777777777	0.9023897677549647	0.9164245428131943	0.9805692924730346	0.9312261201806182	0.9023897677549647	0.9165811965811966
BIO	3	10	Test	11797.269309997559	0.97172391515021	0.8938948142699522	0.8606586402266289	0.8769619339707739	0.97172391515021	0.8938948142699522	0.8606586402266289	0.8769619339707739
BIO	3	11	Dev	11215.61831665039	0.9809976247030879	0.9321857068335941	0.9022214742510939	0.9169588642777731	0.9809976247030879	0.932510001739433	0.9022214742510939	0.9171157300487555
BIO	3	11	Test	11215.61831665039	0.972628405297728	0.896627971254837	0.8615439093484419	0.8787358916478556	0.972628405297728	0.896627971254837	0.8615439093484419	0.8787358916478556
BIO	3	12	Dev	10545.184803009033	0.9812117908181146	0.9285468319559229	0.9076068663749579	0.9179574468085107	0.9812117908181146	0.9287067332529706	0.9076068663749579	0.9180355774959571
BIO	3	12	Test	10545.184803009033	0.9724991924195111	0.8905680990531682	0.8659702549575071	0.8780969479353681	0.9724991924195111	0.8905680990531682	0.8659702549575071	0.8780969479353681
BIO	3	13	Dev	10011.877197265625	0.9818737588100152	0.9355567135660935	0.9064288118478627	0.9207624583297719	0.9818737588100152	0.935881841876629	0.9064288118478627	0.9209198939899119
BIO	3	13	Test	10011.877197265625	0.9732098632497039	0.8973370064279155	0.865084985835694	0.8809158929054358	0.9732098632497039	0.8973370064279155	0.865084985835694	0.8809158929054358
BIO	3	14	Dev	9725.781799316406	0.9816790623418091	0.9375	0.9062605183439919	0.9216156084203321	0.9816790623418091	0.9378265412748171	0.9062605183439919	0.921773365285861
BIO	3	14	Test	9725.781799316406	0.9730160439323786	0.8995391705069125	0.8640226628895185	0.8814232818567688	0.9730160439323786	0.8995391705069125	0.8640226628895185	0.8814232818567688
BIO	3	15	Dev	9456.116821289062	0.982574666095557	0.9367198335644937	0.9092898014136654	0.922801024765158	0.982574666095557	0.9368822611409745	0.9092898014136654	0.9228798360235716
